analysis_id,outcome,measure,agent,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high,active_events,active_n,control_events,control_n,rd_per_1000,rd_ci_low_per_1000,rd_ci_high_per_1000,active_risk,control_risk,nn_type,number_needed,nn_ci_low,nn_ci_high
4.7,Any ARIA H at 18 months,RD,Donanemab,1,0.17802962219760116,0.1394636530951274,0.2165955913000749,1.4606921279271356e-19,0,NA,NA,NA,268,853,119,874,178.02962219760116,139.4636530951274,216.59559130007491,0.3141852286049238,0.13615560640732266,NNH,5.617042757581465,4.616899143688407,7.170327019312375
4.7,Any ARIA H at 18 months,RD,Lecanemab,1,0.08230478730139812,0.051277005591654747,0.1133325690111415,2.0032942580764515e-7,0,NA,NA,NA,155,898,81,897,82.30478730139812,51.27700559165475,113.3325690111415,0.17260579064587972,0.0903010033444816,NNH,12.14996153672112,8.823588918219016,19.501918812567098
4.8,Any ARIA H at 24 months,RD,Aducanumab,1,0.0029411764705882353,-0.001129012440247156,0.0070113653814236265,0.15668830620866697,0,NA,NA,NA,2,680,0,344,2.941176470588235,-1.129012440247156,7.0113653814236265,0.0029411764705882353,0,Indeterminate (CI crosses 0),NA,NA,NA
4.8,Any ARIA H at 24 months,RD,Crenezumab,1,0.01965871858487528,-0.019655991807230662,0.05897342897698122,0.3270614572843214,0,NA,NA,NA,39,399,31,397,19.658718584875277,-19.655991807230663,58.97342897698122,0.09774436090225563,0.07808564231738035,Indeterminate (CI crosses 0),NA,NA,NA
4.8,Any ARIA H at 24 months,RD,Gantenerumab,2,0.02442569588361382,-0.011211675386535891,0.06006306715376353,0.1791584733998657,0,0,NA,NA,54,452,43,461,24.42569588361382,-11.211675386535891,60.06306715376353,0.11946902654867257,0.09327548806941431,Indeterminate (CI crosses 0),NA,NA,NA
4.9,Any ARIA H above 24 months,RD,Gantenerumab,2,0.10584963151378232,0.07240783422264259,0.13929142880492207,5.516568236468517e-10,0,0,NA,NA,227,993,116,946,105.84963151378233,72.40783422264259,139.29142880492208,0.22860020140986909,0.1226215644820296,NNH,9.447364017226583,7.179192636472284,13.810660279178615
5.1,SAE at 18 months,RD,Aducanumab,2,-0.005754454437073945,-0.03468777446835019,0.023178865594202302,0.696676384986008,0,0,NA,NA,147,1095,151,1076,-5.754454437073945,-34.68777446835019,23.178865594202303,0.13424657534246576,0.14033457249070633,Indeterminate (CI crosses 0),NA,NA,NA
5.1,SAE at 18 months,RD,Bapineuzumab,2,0.04654111491762468,0.009031566324376905,0.08405066351087245,0.01502047500667611,0,0,NA,NA,252,1002,197,972,46.54111491762468,9.031566324376906,84.05066351087245,0.25149700598802394,0.20267489711934156,NNH,21.48637826510919,11.897586030009675,110.72276547434764
5.1,SAE at 18 months,RD,Crenezumab,1,-0.023844469874123086,-0.06414714286267012,0.01645820311442394,0.24621854756092923,0,NA,NA,NA,33,404,42,398,-23.844469874123085,-64.14714286267012,16.45820311442394,0.08168316831683169,0.10552763819095477,Indeterminate (CI crosses 0),NA,NA,NA
5.1,SAE at 18 months,RD,Donanemab,1,0.015610538656136236,-0.019463872790948418,0.05068495010322089,0.38303409493118734,0,NA,NA,NA,148,853,138,874,15.610538656136235,-19.463872790948418,50.68495010322089,0.1735052754982415,0.15789473684210525,Indeterminate (CI crosses 0),NA,NA,NA
5.1,SAE at 18 months,RD,Lecanemab,1,0.027714256628752612,-0.0030089782595218786,0.0584374915170271,0.07705945861309986,0,NA,NA,NA,126,898,101,897,27.71425662875261,-3.0089782595218786,58.437491517027105,0.1403118040089087,0.11259754738015608,Indeterminate (CI crosses 0),NA,NA,NA
5.1,SAE at 18 months,RD,Solanezumab,2,-0.01692908650600449,-0.04286760999270014,0.009009436980691156,0.20082879938007872,0,0,NA,NA,302,1708,334,1727,-16.92908650600449,-42.86760999270014,9.009436980691156,0.17681498829039813,0.1933989577301679,Indeterminate (CI crosses 0),NA,NA,NA
