analysis_id,outcome,scenario,measure,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high,rd_per_1000,rd_ci_low_per_1000,rd_ci_high_per_1000
4.8,Any ARIA H at 24 months,Cochrane class pool,RD,4,0.006523131189023516,-0.007643767208594987,0.02069002958664202,0.23906685167469252,4.008455236873744e-5,12.656712237586541,-0.018107661186309926,0.03115392356435696,6.523131189023516,-7.643767208594987,20.69002958664202
4.9,Any ARIA H above 24 months,Cochrane class pool,RD,2,0.10584963151378232,0.07240783422264259,0.13929142880492207,5.516568236468517e-10,0,0,NA,NA,105.84963151378233,72.40783422264259,139.29142880492208
4.10,Symptomatic ARIA H at 18 months,Cochrane class pool,RD,1,0.0044518600730472525,-0.0017059409913244448,0.01060966113741895,0.15648856341538972,0,NA,NA,NA,4.451860073047253,-1.7059409913244448,10.60966113741895
4.10,Symptomatic ARIA H at 18 months,Response primary,RD,1,0.0044518600730472525,-0.0017059409913244448,0.01060966113741895,0.15648856341538972,0,NA,NA,NA,4.451860073047253,-1.7059409913244448,10.60966113741895
4.10,Symptomatic ARIA H at 18 months,Currently active: lecanemab + donanemab,RD,1,0.0044518600730472525,-0.0017059409913244448,0.01060966113741895,0.15648856341538972,0,NA,NA,NA,4.451860073047253,-1.7059409913244448,10.60966113741895
5.1,SAE at 18 months,Cochrane class pool,RD,9,0.00539300808876369,-0.015494762459428829,0.026280778636956208,0.5680412575511724,2.95047495908403e-4,42.15919100391761,-0.03938711888121997,0.05017313505874735,5.393008088763691,-15.494762459428829,26.280778636956207
5.1,SAE at 18 months,Response primary,RD,4,0.011469896828021674,-0.016758420576734538,0.03969821423277788,0.28654768127353886,0,0,-0.016758420576734538,0.03969821423277788,11.469896828021675,-16.758420576734537,39.698214232777886
5.1,SAE at 18 months,Currently active: lecanemab + donanemab,RD,2,0.022459327423011148,-6.51443308573689e-4,0.045570098154595985,0.05681689627090222,0,0,NA,NA,22.45932742301115,-0.651443308573689,45.57009815459598
5.2,SAE at 24 months,Cochrane class pool,RD,4,0.00956791502832262,-0.01976326610354289,0.038899096160188135,0.3755369753848168,0,0,-0.01976326610354289,0.038899096160188135,9.56791502832262,-19.76326610354289,38.89909616018814
5.3,SAE above 24 months,Cochrane class pool,RD,2,-0.026968903417951468,-0.061336482991685724,0.007398676155782789,0.12404333582376337,1.0098005986647004e-4,16.24720033569558,NA,NA,-26.968903417951466,-61.33648299168573,7.398676155782789
6.1,Mortality at 18 months,Cochrane class pool,RD,7,6.865868717330872e-4,-0.008370892644019202,0.009744066387485378,0.8589609076570723,5.6009396182322834e-5,61.61999351998467,-0.019743472836384092,0.021116646579850268,0.6865868717330872,-8.370892644019202,9.744066387485377
6.1,Mortality at 18 months,Response primary,RD,2,0.0020007018992886844,-0.005984451444852169,0.009985855243429537,0.6233738909064352,1.0328836062775311e-5,29.013954593312697,NA,NA,2.0007018992886842,-5.984451444852169,9.985855243429537
6.1,Mortality at 18 months,Currently active: lecanemab + donanemab,RD,2,0.0020007018992886844,-0.005984451444852169,0.009985855243429537,0.6233738909064352,1.0328836062775311e-5,29.013954593312697,NA,NA,2.0007018992886842,-5.984451444852169,9.985855243429537
6.2,Mortality at 24 months,Cochrane class pool,RD,4,0.003382759826169653,-0.005189510309389588,0.011955029961728893,0.29807739976500325,1.51818772881493e-6,2.4791930033782266,-0.006043796632980242,0.012809316285319547,3.382759826169653,-5.189510309389588,11.955029961728894
6.3,Mortality above 24 months,Cochrane class pool,RD,2,-0.0044262687968910685,-0.02437310404012289,0.015520566446340756,0.663618683060728,1.5761416470692796e-4,76.05197626927743,NA,NA,-4.426268796891068,-24.37310404012289,15.520566446340755
8.1,Infusion reaction at 18 months,Cochrane class pool,RD,3,0.08474610618160007,-0.17384917197506378,0.3433413843382639,0.2939356409803846,0.010531851490212457,97.99102594950291,-0.4269625943413702,0.5964548067045703,84.74610618160007,-173.84917197506377,343.3413843382639
8.1,Infusion reaction at 18 months,Response primary,RD,2,0.13536075641611017,0.029375369498652312,0.24134614333356802,0.012307732779590644,0.005654652199391667,96.66302779252322,NA,NA,135.36075641611018,29.37536949865231,241.34614333356802
8.1,Infusion reaction at 18 months,Currently active: lecanemab + donanemab,RD,2,0.13536075641611017,0.029375369498652312,0.24134614333356802,0.012307732779590644,0.005654652199391667,96.66302779252322,NA,NA,135.36075641611018,29.37536949865231,241.34614333356802
8.2,Infusion reaction at 24 months,Cochrane class pool,RD,1,0.015102065762131772,-0.02779914846070776,0.058003279984971304,0.4902283835219708,0,NA,NA,NA,15.102065762131772,-27.79914846070776,58.00327998497131
9.1,Study discontinuation at 18 months,Cochrane class pool,RD,11,0.024736524375322495,0.006635039646506562,0.04283800910413843,0.012359727910388576,3.189543954793834e-4,42.413433007430676,-0.01898012710108263,0.06845317585172762,24.736524375322496,6.635039646506562,42.83800910413843
9.1,Study discontinuation at 18 months,Response primary,RD,4,0.03747345234345446,0.006256081947862067,0.06869082273904685,0.0315685935361611,1.5999361945429097e-5,4.845320239270755,0.0037604699183144755,0.07118643476859443,37.473452343454454,6.256081947862067,68.69082273904685
9.1,Study discontinuation at 18 months,Currently active: lecanemab + donanemab,RD,2,0.05043356323819619,0.0122888897321373,0.08857823674425508,0.009558733211441036,3.9717401479632565e-4,52.236405715984624,NA,NA,50.43356323819619,12.2888897321373,88.57823674425508
9.2,Study discontinuation at 24 months,Cochrane class pool,RD,2,0.00791939979244332,-0.037054425999812415,0.052893225584699055,0.7299979466280729,0,0,NA,NA,7.91939979244332,-37.054425999812416,52.89322558469905
9.3,Study discontinuation above 24 months,Cochrane class pool,RD,2,0.06631046012108041,0.02823633275724792,0.1043845874849129,6.413366474568215e-4,6.571540746744857e-5,8.70254631149018,NA,NA,66.31046012108041,28.23633275724792,104.3845874849129
