analysis_id,outcome,measure,scenario,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high
4.1,Any ARIA at 18 months,RR,Cochrane class pool,2,2.396697026053298,2.0748709257713385,2.768440466993058,1.4814041645820363e-32,0,0,NA,NA
4.1,Any ARIA at 18 months,RR,Exclude futility-terminated trials,2,2.396697026053298,2.0748709257713385,2.768440466993058,1.4814041645820363e-32,0,0,NA,NA
4.1,Any ARIA at 18 months,RR,Exclude all early-terminated trials,2,2.396697026053298,2.0748709257713385,2.768440466993058,1.4814041645820363e-32,0,0,NA,NA
4.2,Any ARIA E at 18 months,RR,Cochrane class pool,11,10.02156709964346,6.52884237787573,15.382789370591826,2.9581966636182025e-7,0.054230157015968276,25.234597256918875,5.113053567214812,19.642236446852554
4.2,Any ARIA E at 18 months,RR,Exclude futility-terminated trials,8,8.761592331366693,3.9698144268898607,19.337301930560347,3.3960161975884573e-4,0.2373412841697315,53.695584088433236,2.1653719852238282,35.45141467835541
4.2,Any ARIA E at 18 months,RR,Exclude all early-terminated trials,6,9.477140883473439,2.1036138744182202,42.69614325016917,0.012116570001723089,1.1416384713186865,83.6951263786254,0.41348507275394647,217.21751338445753
4.3,Any ARIA E at 24 months,RR,Cochrane class pool,4,7.49410213532707,1.5924204203166323,35.26805239256274,0.025613099859261086,0.11447665063724284,11.83959632683998,1.1362663336187224,49.42641100335456
4.3,Any ARIA E at 24 months,RR,Exclude futility-terminated trials,1,7.599118942731277,0.435288259576443,132.66291344950963,0.16455252327745953,0,NA,NA,NA
4.4,Any ARIA E above 24 months,RR,Cochrane class pool,2,9.349943398952874,4.51505569501341,19.362206685550703,1.7594883233552905e-9,0.18601437356944012,66.3692954998454,NA,NA
4.4,Any ARIA E above 24 months,RR,Exclude futility-terminated trials,2,9.349943398952874,4.51505569501341,19.362206685550703,1.7594883233552905e-9,0.18601437356944012,66.3692954998454,NA,NA
4.4,Any ARIA E above 24 months,RR,Exclude all early-terminated trials,2,9.349943398952874,4.51505569501341,19.362206685550703,1.7594883233552905e-9,0.18601437356944012,66.3692954998454,NA,NA
4.5,Symptomatic ARIA E at 18 months,RR,Cochrane class pool,2,52.49035277096728,10.448210290930277,263.7042189332957,1.5168276846694145e-6,0,0,NA,NA
4.5,Symptomatic ARIA E at 18 months,RR,Exclude futility-terminated trials,2,52.49035277096728,10.448210290930277,263.7042189332957,1.5168276846694145e-6,0,0,NA,NA
4.5,Symptomatic ARIA E at 18 months,RR,Exclude all early-terminated trials,2,52.49035277096728,10.448210290930277,263.7042189332957,1.5168276846694145e-6,0,0,NA,NA
4.6,Symptomatic ARIA E above 24 months,RR,Cochrane class pool,2,15.546661816944196,4.331361582881384,55.80201260630923,2.5749219266435758e-5,0,0,NA,NA
4.6,Symptomatic ARIA E above 24 months,RR,Exclude futility-terminated trials,2,15.546661816944196,4.331361582881384,55.80201260630923,2.5749219266435758e-5,0,0,NA,NA
4.6,Symptomatic ARIA E above 24 months,RR,Exclude all early-terminated trials,2,15.546661816944196,4.331361582881384,55.80201260630923,2.5749219266435758e-5,0,0,NA,NA
4.7,Any ARIA H at 18 months,RR,Cochrane class pool,3,1.647567809136657,0.47206706494317713,5.750199256180067,0.22780056624626227,0.19569237236659237,90.00231897534974,0.1690107247692144,16.060990741327274
4.7,Any ARIA H at 18 months,RR,Exclude futility-terminated trials,2,2.1381611827436675,1.783838716365453,2.562862438991482,2.0183075695539462e-16,0.004539150272811235,25.597636053393902,NA,NA
4.7,Any ARIA H at 18 months,RR,Exclude all early-terminated trials,2,2.1381611827436675,1.783838716365453,2.562862438991482,2.0183075695539462e-16,0.004539150272811235,25.597636053393902,NA,NA
4.8,Any ARIA H at 24 months,RR,Cochrane class pool,4,1.2748171281299332,1.0766184904677847,1.5095028782826572,0.01962356765593941,0,0,1.0766184904677847,1.5095028782826572
4.8,Any ARIA H at 24 months,RR,Exclude futility-terminated trials,1,2.5330396475770924,0.1219456991199386,52.61595859880877,0.5481833162508196,0,NA,NA,NA
4.9,Any ARIA H above 24 months,RR,Cochrane class pool,2,1.86453837103413,1.518623298927227,2.289246674612755,2.674353802685853e-9,0,0,NA,NA
4.9,Any ARIA H above 24 months,RR,Exclude futility-terminated trials,2,1.86453837103413,1.518623298927227,2.289246674612755,2.674353802685853e-9,0,0,NA,NA
4.9,Any ARIA H above 24 months,RR,Exclude all early-terminated trials,2,1.86453837103413,1.518623298927227,2.289246674612755,2.674353802685853e-9,0,0,NA,NA
4.10,Symptomatic ARIA H at 18 months,RR,Cochrane class pool,1,2.9966592427616936,0.6064524420319731,14.807371518104377,0.17817119958296707,0,NA,NA,NA
4.10,Symptomatic ARIA H at 18 months,RR,Exclude futility-terminated trials,1,2.9966592427616936,0.6064524420319731,14.807371518104377,0.17817119958296707,0,NA,NA,NA
4.10,Symptomatic ARIA H at 18 months,RR,Exclude all early-terminated trials,1,2.9966592427616936,0.6064524420319731,14.807371518104377,0.17817119958296707,0,NA,NA,NA
5.1,SAE at 18 months,RR,Cochrane class pool,9,1.0411259198754732,0.9197385260982464,1.1785340618870235,0.4749065574334277,0.010222160034294213,39.37245648976637,0.7995115293388738,1.3557567855624004
