analysis_id,outcome,measure,scenario,ci_method,p_method,k,estimate,ci_low,ci_high,p_value,tau2,i2,cochrane_estimate,cochrane_ci_low,cochrane_ci_high,cochrane_p_value,cochrane_ci_method,abs_estimate_difference,abs_ci_low_difference,abs_ci_high_difference,abs_p_value_difference
3.2,ADCS-ADL score at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,3,0.09178831812571328,0.026397093158122498,0.15717954309330406,0.006832780826407155,0,0,0.09178831812571328,0.0263970930707882,0.15717954318063831,0.00683278082615753,HKSJ,0,8.73342960450163e-11,8.733425094220593e-11,2.4962497346958656e-13
3.3,ADCS-ADL score at 24 months,SMD,Cochrane class pool,HKSJ,Wald/z,2,0.08682091859005583,-3.829166563123579,4.002808400303691,0.7781675439764495,0.13469954542799994,67.83682538876192,0.08682091859005586,-3.8291665632562832,4.002808400436395,0.7781675443166172,HKSJ,2.7755575615628914e-17,1.3270406995502526e-10,1.327045140442351e-10,3.4016767180844454e-10
3.4,ADCS-ADL score above 24 months,SMD,Cochrane class pool,HKSJ,Wald/z,2,0.06945122787161243,-0.025544276798888294,0.16444673254211314,0.12321497239665612,0,0,0.0694512278716124,-0.02554427680210744,0.16444673254533224,0.12321497239199544,HKSJ,2.7755575615628914e-17,3.2191471710518726e-12,3.2190916599006414e-12,4.660674624012984e-12
3.5,ADCS-ADL-MCI score at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,4,0.2253197481892245,0.11570585032937554,0.3349336460490735,2.855680358389101e-9,0,0,0.2253197481892246,0.11570585032913153,0.33493364604931775,2.855680358362337e-9,HKSJ,8.326672684688674e-17,2.440131430248016e-13,2.4424906541753444e-13,2.6764255899765763e-20
3.6,ADCS-iADL score at 18 months,SMD,Cochrane class pool,HKSJ,Wald/z,1,0.2086615152924401,0.09740270301361312,0.3199203275712671,2.370725624849406e-4,0,NA,0.2086615152924401,0.0974027030136131,0.3199203275712671,2.3707256249311e-4,HKSJ,0,1.3877787807814457e-17,0,8.16938205451534e-15
3.7,ADCS-ADL 24 months mean difference,MD,Cochrane class pool,Wald,Wald/z,2,0.6478059440559435,-4.919750116189824,6.215362004301711,0.8196080459316482,11.602949999999998,70.92614553278888,0.6478059440559442,-4.9197501161898245,6.2153620043017135,0.8196080461084596,Wald,6.661338147750939e-16,8.881784197001252e-16,2.6645352591003757e-15,1.7681145436654333e-10
3.8,ADCS-ADL-MCI 18 months mean difference,MD,Cochrane class pool,Wald,Wald/z,4,1.8958916024482904,1.272557678332627,2.519225526563954,2.5024216576847596e-9,0,0,1.8958916024482908,1.2725576783326276,2.519225526563954,2.5024216576640962e-9,Wald,4.440892098500626e-16,6.661338147750939e-16,0,2.0663385291880908e-20
4.1,Any ARIA at 18 months,RR,Cochrane class pool,Wald,Wald/z,2,2.3966970260532987,2.074870925771339,2.7684404669930593,1.4814041645820363e-32,0,0,2.3966970260532987,2.074870925771339,2.7684404669930593,1.4814041645199886e-32,Wald,0,0,0,6.204768963900123e-43
4.10,Symptomatic ARIA H at 18 months,RR,Cochrane class pool,HKSJ,Wald/z,1,2.9966592427616927,0.6064524420319729,14.807371518104377,0.17817119958296712,0,NA,2.9966592427616927,0.606452442031973,14.807371518104375,0.17817119958988417,HKSJ,0,1.1102230246251565e-16,1.7763568394002505e-15,6.9170502658977284e-12
4.2,Any ARIA E at 18 months,RR,Cochrane class pool,Wald,Wald/z,11,10.021567099643446,7.4909777580592785,13.407035820471492,2.504949184141154e-54,0.054230157015968304,25.234597256918885,10.02161283630108,7.4911225305395135,13.406899090393246,2.4732157545246333e-54,Wald,4.573665763274448e-5,1.4477248023503364e-4,1.3673007824621664e-4,3.1733429616520523e-56
